experiment,mode,candidate_k,recall@30,hit@30,complete@30,mrr@30,missed_gold_chunks,seconds
oracle_company_candidate_30,oracle_company,30,0.9538888888888889,0.98,0.9266666666666666,0.644973717115358,25,125.49812229699455
oracle_company_candidate_50,oracle_company,50,0.9555555555555554,0.9833333333333333,0.93,0.6406113084883455,25,240.38624955900013
oracle_company_candidate_100,oracle_company,100,0.9383333333333334,0.9766666666666667,0.9,0.6409495586537434,34,371.6303714300011
oracle_company_candidate_200,oracle_company,200,0.9538888888888888,0.98,0.93,0.641069935502356,25,124.99459897700581
scope_aware_candidate_30,scope_aware,30,0.9505555555555556,0.9766666666666667,0.9233333333333333,0.6195192084124477,26,118.48096430199803
