experiment,mode,candidate_k,recall@30,hit@30,complete@30,mrr@30,missed_gold_chunks,seconds
oracle_company_candidate_30,oracle_company,30,0.9066666666666666,0.9466666666666667,0.8666666666666667,0.5816531302241312,46,135.22271272500802
oracle_company_candidate_50,oracle_company,50,0.9027777777777777,0.9433333333333334,0.8633333333333333,0.5763501379801997,48,138.72865478599851
oracle_company_candidate_100,oracle_company,100,0.8827777777777779,0.9333333333333333,0.8333333333333334,0.5770268238857569,59,125.83740338101052
oracle_company_candidate_200,oracle_company,200,0.9094444444444444,0.95,0.87,0.577672369617948,46,121.74036559699744
scope_aware_candidate_30,scope_aware,30,0.8966666666666666,0.9366666666666666,0.8566666666666667,0.5507253279066231,49,133.73220301700349
